Prices,Benzene,Toluene Blend,Natural Gas
11-Feb,4.2866,2.973,5.77
11-Mar,4.0488,3.3708,5.21
11-Apr,4.1338,4.2003,5.34
11-May,4.1219,3.6,5.21
11-Jun,3.791,3.5714,5.21
11-Jul,3.9963,4.0194,5.05
11-Aug,4.0838,3.6853,5.21
11-Sep,3.706,3.3577,4.84
11-Oct,3.1713,3.302,4.71
11-Nov,3.1056,3.0904,4.64
11-Dec,3.3738,3.2395,4.59
12-Jan,4.045,3.6006,4.59
12-Feb,4.165,3.7538,4.19
12-Mar,4.1575,3.9608,3.71
12-Apr,4.1425,4.3428,3.21
12-May,4.06,4.233,3.02
12-Jun,4.1463,3.9933,3.34
12-Jul,4.6675,4.2367,3.6
12-Aug,4.34,4.2641,3.83
12-Sep,4.3456,4.3466,3.56
12-Oct,4.7313,3.8967,3.95
12-Nov,4.8745,3.1773,4.46
12-Dec,5.1258,3.2948,4.72
13-Jan,4.9331,3.8594,4.6
